report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-05-16,Loin,315.97,268.43,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Round,164.82,162.28,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Trim,95.01,95.01,204,2013,95,2013-05-12,2013-05-17
2013-05-16,Cutout,208.77,192.71,204,2013,95,2013-05-12,2013-05-17
2013-05-17,Plate,140.83,143.97,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Loin,313.9,266.82,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Trim,95.67,95.67,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Rib,321.84,274.81,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Cutout,209.51,192.31,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Round,164.05,161.0,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Brisket,133.3,135.19,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Chuck,166.51,161.9,205,2013,96,2013-05-12,2013-05-17
2013-05-17,Flank,114.78,109.64,205,2013,96,2013-05-12,2013-05-17
2013-05-20,Brisket,132.91,134.43,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Chuck,166.33,162.84,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Rib,323.37,275.73,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Plate,139.08,142.74,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Flank,113.57,110.89,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Round,166.16,163.14,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Cutout,210.25,193.41,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Loin,315.5,268.32,211,2013,97,2013-05-19,2013-05-24
2013-05-20,Trim,86.17,86.17,211,2013,97,2013-05-19,2013-05-24
2013-05-21,Round,166.71,163.26,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Trim,92.75,92.75,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Brisket,134.35,134.97,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Chuck,165.27,162.11,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Loin,317.92,267.31,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Plate,140.17,143.83,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Flank,113.72,110.9,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Rib,322.72,274.45,212,2013,98,2013-05-19,2013-05-24
2013-05-21,Cutout,210.66,192.97,212,2013,98,2013-05-19,2013-05-24
2013-05-22,Rib,319.34,271.6,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Flank,114.46,111.04,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Trim,88.37,88.37,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Plate,141.23,144.83,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Cutout,211.2,192.19,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Brisket,134.75,135.43,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Loin,322.11,266.37,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Chuck,166.62,162.17,213,2013,99,2013-05-19,2013-05-24
2013-05-22,Round,164.55,161.58,213,2013,99,2013-05-19,2013-05-24
