report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2013-03-16,,,,,,,60500.0,,2013,11
2013-03-23,,,,,,,57980.0,,2013,12
2013-03-30,,,,,,,57910.0,,2013,13
2013-04-06,,,,,,,60280.0,,2013,14
2013-04-13,,,,,,,55700.0,,2013,15
2013-04-20,,,,,,,58800.0,,2013,16
2013-04-27,,,,,,,58700.0,,2013,17
2013-05-04,,,,,,,53060.0,,2013,18
2013-05-11,,,,,,,58940.0,,2013,19
2013-05-18,,,,,,,55990.0,,2013,20
2013-05-25,,,,,,,59245.0,,2013,21
2013-06-01,,,,,,,51319.0,,2013,22
2013-06-08,,,,,,,50650.0,,2013,23
2013-06-15,,,,,,,58000.0,,2013,24
2013-06-22,,,,,,,56260.0,,2013,25
2013-06-29,,,,,,,55160.0,,2013,26
2013-07-06,,,,,,,39490.0,,2013,27
2013-07-13,,,,,,,57640.0,,2013,28
2013-07-20,,,,,,,56398.0,,2013,29
2013-07-27,,,,,,,57100.0,,2013,30
2013-08-03,,,,,,,58020.0,,2013,31
2013-08-10,,,,,,,55180.0,,2013,32
2013-08-17,,,,,,,55710.0,,2013,33
2013-08-24,,,,,,,54650.0,,2013,34
2013-08-31,,,,,,,55930.0,,2013,35
2013-09-07,,,,,,,49049.0,,2013,36
2013-09-14,,,,,,,59160.0,,2013,37
2013-09-21,,,,,,,58020.0,,2013,38
2013-09-28,,,,,,,59590.0,,2013,39
2013-10-05,,,,,,,57030.0,,2013,40
2013-10-12,,,,,,,58040.0,,2013,41
2013-10-19,,,,,,,59220.0,,2013,42
2013-10-26,,,,,,,59830.0,,2013,43
2013-11-02,,,,,,,59180.0,,2013,44
2013-11-09,,,,,,,60240.0,,2013,45
2013-11-16,,,,,,,58850.0,,2013,46
2013-11-23,,,,,,,60330.0,,2013,47
2013-11-30,,,,,,,44217.0,,2013,48
2013-12-07,,,,,,,60250.0,,2013,49
2013-12-14,,,,,,,62300.0,,2013,50
2013-12-21,,,,,,,60280.0,,2013,51
2013-12-28,,,,,,,38361.0,,2013,52
